system,session,normalized_equity
M0,2024-04-02,1.0801702942850155
M0,2024-04-03,1.0790763173984939
M0,2024-04-04,1.0761459911124487
M0,2024-04-05,1.0796623669492504
M0,2024-04-08,1.0780410138749232
M0,2024-04-09,1.0763622129907773
M0,2024-04-10,1.073616606256438
M0,2024-04-11,1.0794763638959513
M0,2024-04-12,1.0491905147219125
M0,2024-04-15,1.047362935975573
M0,2024-04-16,1.046788323480503
M0,2024-04-17,1.0428807833267095
M0,2024-04-18,1.0389349549937792
M0,2024-04-19,1.030143033367955
M0,2024-04-22,1.0351231932302765
M0,2024-04-23,1.0395478847828692
M0,2024-04-24,1.0338973045372128
M0,2024-04-25,1.0283041857709176
M0,2024-04-26,1.0397011244609764
M0,2024-04-29,1.0422678535376197
M0,2024-04-30,1.0308517415473364
M0,2024-05-01,1.038513553061933
M0,2024-05-02,1.0494699458263497
M0,2024-05-03,1.0523239811505276
M0,2024-05-06,1.0570934400469258
M0,2024-05-07,1.057208362622558
M0,2024-05-08,1.0557526289697752
M0,2024-05-09,1.058625808287749
M0,2024-05-10,1.0547565852364302
M0,2024-05-13,1.0530135453361131
M0,2024-05-14,1.0539712717754375
M0,2024-05-15,1.0519025792186814
M0,2024-05-16,1.0473821092757978
M0,2024-05-17,1.0494316285323293
M0,2024-05-20,1.0472096962974657
M0,2024-05-21,1.0464626708240645
M0,2024-05-22,1.046424382836473
M0,2024-05-23,1.0424402374010677
M0,2024-05-24,1.041865595599569
M0,2024-05-28,1.041571156369803
M0,2024-05-29,1.0418437903874957
M0,2024-05-30,1.0384108873106266
M0,2024-05-31,1.0345636466756112
M0,2024-06-03,1.0412980822036477
M0,2024-06-04,1.0437699682393584
M0,2024-06-05,1.0501289296882865
M0,2024-06-06,1.0548374663494098
M0,2024-06-07,1.0576872033232618
M0,2024-06-10,1.0564185066682417
M0,2024-06-11,1.0811396876378978
M0,2024-06-12,1.0907822426252591
M0,2024-06-13,1.0869553706042907
M0,2024-06-14,1.083586822843312
M0,2024-06-17,1.0916212219245096
M0,2024-06-18,1.0850885201070923
M0,2024-06-20,1.0833744430104435
M0,2024-06-21,1.0852745040606055
M0,2024-06-24,1.079681493451704
M0,2024-06-25,1.0827734818075985
M0,2024-06-26,1.1039670620858255
M0,2024-06-27,1.1135665952898102
M0,2024-06-28,1.0987044086938533
M0,2024-07-01,1.1169293796549375
M0,2024-07-02,1.128413286230879
M0,2024-07-03,1.126022717474462
M0,2024-07-05,1.1389678729915556
M1,2024-01-05,1.0
M1,2024-01-08,1.0
M1,2024-01-09,1.0
M1,2024-01-10,1.0
M1,2024-01-11,1.0
M1,2024-01-12,1.0
M1,2024-01-16,1.0
M1,2024-01-17,1.0
M1,2024-01-18,1.0
M1,2024-01-19,1.0
