symbol,decision_session,next_evaluation_session,action,strategy_forward_return,same_stock_buy_hold_forward_return,underlying_forward_close_return,SPY_forward_return,strategy_excess_vs_stock,strategy_excess_vs_spy,commission_cost_in_period,slippage_cost_in_period,transaction_cost_in_period,average_exposure_in_period
AAPL,2024-04-19,2024-04-26,SELL,0.0021455197028632522,0.026022773541515276,0.026060624848484926,0.026371160838696506,-0.023877253838652024,-0.024225641135833254,45.3819359676758,45.40463828681708,90.78657425449288,0.1664245945291697
AAPL,2024-04-26,2024-05-03,BUY,0.056680899326338796,0.08304825729945975,0.08316598666382413,0.005942863445018265,-0.026367357973120953,0.05073803588132053,45.40237943651879,45.37968959171266,90.78206902823146,0.8333333333333331
AAPL,2024-05-03,2024-05-10,HOLD,-0.0004362623942758548,-0.0004356921787662671,-0.0017995517023785546,0.01862019408196458,-5.702155095876904e-07,-0.019056456476240435,0.0,0.0,0.0,0.999772685946743
AAPL,2024-05-10,2024-05-17,HOLD,0.037206720592794174,0.03715806845815606,0.037257535561331157,0.016480490121593583,4.865213463811635e-05,0.02072623047120059,0.0,0.0,0.0,0.9986696118817706
AAPL,2024-05-17,2024-05-24,HOLD,0.0005785851190567293,0.0005778556568158955,0.0005793469365291681,-1.8849249630359388e-05,7.294622408338114e-07,0.0005974343686870887,0.0,0.0,0.0,0.9986870093509818
AAPL,2024-05-24,2024-05-31,HOLD,0.011932946177320325,0.011917910176127533,0.011948649075582685,-0.0038980618803744482,1.5036001192791915e-05,0.015831008057694773,0.0,0.0,0.0,0.9986911399271662
AAPL,2024-05-31,2024-06-07,HOLD,0.024103892987012987,0.02407387880045664,0.02413523745123536,0.012552843310065676,3.0014186556348577e-05,0.011551049676947311,0.0,0.0,0.0,0.9987171861017828
AAPL,2024-06-07,2024-06-14,HOLD,0.07913161280044112,0.07903539440379581,0.07923208973304519,0.016374043071917477,9.621839664530896e-05,0.06275756972852364,0.0,0.0,0.0,0.9987868266909361
AAPL,2024-06-14,2024-06-21,HOLD,-0.023502866742193484,-0.02347638215268999,-0.023530518474197182,0.0064091486791495456,-2.648458950349486e-05,-0.02991201542134303,0.0,0.0,0.0,0.9988225547235835
AAPL,2024-06-21,2024-06-28,HOLD,0.015066860099799184,0.015049473589902496,0.015085013817689674,-0.0005293998050828197,1.738650989668855e-05,0.015596259904882004,0.0,0.0,0.0,0.9988132856520369
AAPL,2024-06-28,2024-07-05,HOLD,0.07454830732340634,0.07446355722074482,0.07463679406381285,0.01902947265130095,8.475010266151273e-05,0.05551883467210539,0.0,0.0,0.0,0.9988596443497663
AMZN,2024-01-05,2024-01-12,BUY,0.05264743902871549,0.05264743902871549,0.06458268551910806,0.016595174092710163,0.0,0.03605226493600533,49.97501249375312,49.95003747500349,99.92504996875661,0.8333333333333334
AMZN,2024-01-12,2024-01-19,HOLD,0.004656585324131823,0.004656585324131823,0.004656585324131823,0.012062599832292298,0.0,-0.0074060145081604745,0.0,0.0,0.0,1.0
AMZN,2024-01-19,2024-01-26,HOLD,0.024333712437458077,0.024333712437458077,0.024333712437458077,0.010322764080501035,0.0,0.014010948356957043,0.0,0.0,0.0,1.0
AMZN,2024-01-26,2024-02-02,HOLD,0.07975114938901862,0.07975114938901862,0.0797511493890184,0.014238530902766389,0.0,0.06551261848625223,0.0,0.0,0.0,1.0
AMZN,2024-02-02,2024-02-09,SELL,-0.010361202326800822,0.015365807210744098,0.015365807210744098,0.013856591515069905,-0.02572700953754492,-0.024217793841870727,57.90680902823629,57.935776916678634,115.84258594491493,0.16666666666666666
AMZN,2024-02-09,2024-02-16,BUY,-0.031232216532530166,-0.02831758376488669,-0.0283175837648868,-0.0033719121286165388,-0.002914632767643477,-0.027860304403913627,57.8489311581431,57.82002114755628,115.66895230569938,0.8333333333333334
AMZN,2024-02-16,2024-02-23,HOLD,0.03232854213796821,0.032328542137967986,0.032328542137967986,0.016696354700357574,2.220446049250313e-16,0.015632187437610634,0.0,0.0,0.0,1.0
AMZN,2024-02-23,2024-03-01,HOLD,0.018458172458312383,0.01845817245831216,0.018458172458312383,0.00984536662389135,2.220446049250313e-16,0.008612805834421033,0.0,0.0,0.0,1.0
AMZN,2024-03-01,2024-03-08,HOLD,-0.016103664463447576,-0.016103664463447465,-0.016103664463447465,-0.0022033234937330892,-1.1102230246251565e-16,-0.013900340969714486,0.0,0.0,0.0,1.0
AMZN,2024-03-08,2024-03-15,HOLD,-0.005303723225818513,-0.005303723225818513,-0.005303723225818513,-0.0005765156712814745,0.0,-0.0047272075545370384,0.0,0.0,0.0,1.0
AMZN,2024-03-15,2024-03-22,HOLD,0.025513111718401538,0.025513111718401538,0.025513111718401538,0.022251621837359847,0.0,0.0032614898810416904,0.0,0.0,0.0,1.0
AMZN,2024-03-22,2024-03-28,HOLD,0.008441940187652985,0.008441940187652985,0.008441940187652985,0.0035577035830387516,0.0,0.004884236604614234,0.0,0.0,0.0,1.0
AMZN,2024-03-28,2024-04-05,HOLD,0.026000677861163446,0.026000677861163668,0.026000677861163446,-0.008843766089677185,-2.220446049250313e-16,0.03484444395084063,0.0,0.0,0.0,1.0
AMZN,2024-04-05,2024-04-12,HOLD,0.005727549349915595,0.005727549349915595,0.005727549349915595,-0.014576196733630642,0.0,0.020303746083546237,0.0,0.0,0.0,1.0
AMZN,2024-04-12,2024-04-19,HOLD,-0.06178477245610392,-0.06178477245610381,-0.06178477245610392,-0.03061792429086163,-1.1102230246251565e-16,-0.03116684816524229,0.0,0.0,0.0,1.0
AMZN,2024-04-19,2024-04-26,HOLD,0.028574643875532768,0.028574643875532546,0.028574643875532546,0.026371160838696506,2.220446049250313e-16,0.0022034830368362623,0.0,0.0,0.0,1.0
AMZN,2024-04-26,2024-05-03,HOLD,0.036688630329441585,0.036688630329441585,0.036688630329441585,0.005942863445018265,0.0,0.03074576688442332,0.0,0.0,0.0,1.0
AMZN,2024-05-03,2024-05-10,HOLD,0.006820197380938975,0.006820197380938975,0.006820197380938975,0.01862019408196458,0.0,-0.011799996701025606,0.0,0.0,0.0,1.0
AMZN,2024-05-10,2024-05-17,HOLD,-0.014828242285904736,-0.014828242285904736,-0.014828242285904736,0.016480490121593583,0.0,-0.03130873240749832,0.0,0.0,0.0,1.0
AMZN,2024-05-17,2024-05-24,HOLD,-0.02138601497724224,-0.02138601497724224,-0.02138601497724224,-1.8849249630359388e-05,0.0,-0.02136716572761188,0.0,0.0,0.0,1.0
AMZN,2024-05-24,2024-05-31,HOLD,-0.02384507662517299,-0.02384507662517288,-0.02384507662517288,-0.0038980618803744482,-1.1102230246251565e-16,-0.01994701474479854,0.0,0.0,0.0,1.0
