session,symbol,series,equity,normalized_equity
2024-04-09,AMZN,strategy,122831.15597259573,1.2283115597259573
2024-04-10,AMZN,strategy,123016.39087497762,1.2301639087497762
2024-04-11,AMZN,strategy,125067.21948896859,1.250672194889686
2024-04-12,AMZN,strategy,123135.47630040266,1.2313547630040267
2024-04-15,AMZN,strategy,121474.9635184483,1.214749635184483
2024-04-16,AMZN,strategy,121276.50470114393,1.2127650470114393
2024-04-17,AMZN,strategy,119926.92423753557,1.1992692423753557
2024-04-18,AMZN,strategy,118564.11985900474,1.1856411985900475
2024-04-19,AMZN,strategy,115527.5789159083,1.155275789159083
2024-04-22,AMZN,strategy,117247.61919478043,1.1724761919478044
2024-04-23,AMZN,strategy,118775.81264688724,1.1877581264688724
2024-04-24,AMZN,strategy,116824.22356335974,1.1682422356335975
2024-04-25,AMZN,strategy,114892.48044094945,1.1489248044094946
2024-04-26,AMZN,strategy,118828.73834123289,1.1882873834123289
2024-04-29,AMZN,strategy,119715.23144965306,1.1971523144965306
2024-04-30,AMZN,strategy,115772.3515031749,1.157723515031749
2024-05-01,AMZN,strategy,118418.57668039032,1.1841857668039033
2024-05-02,AMZN,strategy,122202.67947767595,1.2220267947767596
2024-05-03,AMZN,strategy,123188.40199474832,1.2318840199474832
2024-05-06,AMZN,strategy,124835.67068431323,1.2483567068431323
2024-05-07,AMZN,strategy,124875.36247423636,1.2487536247423636
2024-05-08,AMZN,strategy,124372.58332912505,1.2437258332912504
2024-05-09,AMZN,strategy,125364.91777058083,1.2536491777058083
2024-05-10,AMZN,strategy,124028.57121139496,1.2402857121139497
2024-05-13,AMZN,strategy,123426.56265763147,1.2342656265763148
2024-05-14,AMZN,strategy,123757.3408047834,1.237573408047834
2024-05-15,AMZN,strategy,123042.8588161339,1.230428588161339
2024-05-16,AMZN,strategy,121481.58556464301,1.2148158556464301
2024-05-17,AMZN,strategy,122189.4455070978,1.221894455070978
2024-05-20,AMZN,strategy,121422.03782410266,1.2142203782410266
2024-05-21,AMZN,strategy,121164.03126625794,1.2116403126625794
2024-05-22,AMZN,strategy,121150.80741749109,1.211508074174911
2024-05-23,AMZN,strategy,119774.76913453775,1.1977476913453775
2024-05-24,AMZN,strategy,119576.30019542208,1.195763001954221
2024-05-28,AMZN,strategy,120502.47497195409,1.2050247497195408
2024-05-29,AMZN,strategy,120416.47953388005,1.2041647953388004
2024-05-30,AMZN,strategy,118630.2795239285,1.186302795239285
2024-05-31,AMZN,strategy,116724.99415470756,1.1672499415470756
2024-06-03,AMZN,strategy,117981.94707839149,1.179819470783915
2024-06-04,AMZN,strategy,118643.50337269536,1.1864350337269536
2024-06-05,AMZN,strategy,119926.92423753557,1.1992692423753557
2024-06-06,AMZN,strategy,122387.91444621347,1.2238791444621346
2024-06-07,AMZN,strategy,121924.82709102528,1.2192482709102528
2024-06-10,AMZN,strategy,123750.71882474431,1.237507188247443
2024-06-11,AMZN,strategy,123863.18213781899,1.23863182137819
2024-06-12,AMZN,strategy,123638.25544551398,1.2363825544551397
2024-06-13,AMZN,strategy,121613.89477267928,1.2161389477267928
2024-06-14,AMZN,strategy,121501.43145960459,1.215014314596046
2024-06-17,AMZN,strategy,121766.04994183274,1.2176604994183273
2024-06-18,AMZN,strategy,120939.10457395292,1.2093910457395292
2024-06-20,AMZN,strategy,123115.6304054411,1.2311563040544111
2024-06-21,AMZN,strategy,125087.06531777453,1.2508706531777452
2024-06-24,AMZN,strategy,122765.0063633276,1.2276500636332761
2024-06-25,AMZN,strategy,123274.39743282234,1.2327439743282234
2024-06-26,AMZN,strategy,128083.91453710345,1.2808391453710346
2024-06-27,AMZN,strategy,130888.91686351142,1.3088891686351143
2024-06-28,AMZN,strategy,127845.75387422029,1.2784575387422028
2024-07-01,AMZN,strategy,130458.899185896,1.3045889918589602
2024-07-02,AMZN,strategy,132311.2588607713,1.323112588607713
2024-07-03,AMZN,strategy,130716.90574374073,1.3071690574374073
2024-07-05,AMZN,strategy,132311.2588607713,1.323112588607713
2024-01-05,AMZN,same_stock_buy_and_hold,100000.0,1.0
2024-01-08,AMZN,same_stock_buy_and_hold,101506.75498264252,1.0150675498264252
2024-01-09,AMZN,same_stock_buy_and_hold,103052.1554374336,1.030521554374336
2024-01-10,AMZN,same_stock_buy_and_hold,104658.83547004488,1.0465883547004489
2024-01-11,AMZN,same_stock_buy_and_hold,105645.98828146631,1.0564598828146632
2024-01-12,AMZN,same_stock_buy_and_hold,105264.74390287156,1.0526474390287155
2024-01-16,AMZN,same_stock_buy_and_hold,104270.78693940122,1.0427078693940122
2024-01-17,AMZN,same_stock_buy_and_hold,103283.6341279798,1.032836341279798
2024-01-18,AMZN,same_stock_buy_and_hold,104502.2552137617,1.045022552137617
2024-01-19,AMZN,same_stock_buy_and_hold,105754.91816447816,1.0575491816447817
2024-01-22,AMZN,same_stock_buy_and_hold,105373.67385396306,1.0537367385396306
2024-01-23,AMZN,same_stock_buy_and_hold,106217.86519746447,1.0621786519746448
2024-01-24,AMZN,same_stock_buy_and_hold,106796.53591740552,1.0679653591740552
2024-01-25,AMZN,same_stock_buy_and_hold,107395.64013010364,1.0739564013010363
2024-01-26,AMZN,same_stock_buy_and_hold,108328.3279319395,1.083283279319395
2024-01-29,AMZN,same_stock_buy_and_hold,109785.23192839616,1.0978523192839615
2024-01-30,AMZN,same_stock_buy_and_hold,108246.63569373362,1.0824663569373363
2024-01-31,AMZN,same_stock_buy_and_hold,105659.60706982948,1.0565960706982949
2024-02-01,AMZN,same_stock_buy_and_hold,108437.25788303098,1.0843725788303098
2024-02-02,AMZN,same_stock_buy_and_hold,116967.6365959022,1.169676365959022
2024-02-05,AMZN,same_stock_buy_and_hold,115946.4419195462,1.159464419195462
2024-02-06,AMZN,same_stock_buy_and_hold,115156.71551755072,1.1515671551755071
2024-02-07,AMZN,same_stock_buy_and_hold,116096.21795570082,1.1609621795570082
2024-02-08,AMZN,same_stock_buy_and_hold,115626.46670258597,1.1562646670258596
2024-02-09,AMZN,same_stock_buy_and_hold,118764.9387497312,1.187649387497312
2024-02-12,AMZN,same_stock_buy_and_hold,117328.45782984592,1.1732845782984593
2024-02-13,AMZN,same_stock_buy_and_hold,114809.51307197016,1.1480951307197016
2024-02-14,AMZN,same_stock_buy_and_hold,116402.5742481386,1.164025742481386
2024-02-15,AMZN,same_stock_buy_and_hold,115599.23947396566,1.1559923947396566
2024-02-16,AMZN,same_stock_buy_and_hold,115401.80264835405,1.1540180264835405
2024-02-20,AMZN,same_stock_buy_and_hold,113747.47224247144,1.1374747224247144
2024-02-21,AMZN,same_stock_buy_and_hold,114775.47113895597,1.1477547113895596
2024-02-22,AMZN,same_stock_buy_and_hold,118853.44562425133,1.1885344562425133
2024-02-23,AMZN,same_stock_buy_and_hold,119132.57468806882,1.1913257468806882
2024-02-26,AMZN,same_stock_buy_and_hold,118955.56093902855,1.1895556093902855
2024-02-27,AMZN,same_stock_buy_and_hold,118145.41152854134,1.1814541152854134
2024-02-28,AMZN,same_stock_buy_and_hold,117886.71595748092,1.1788671595748093
2024-02-29,AMZN,same_stock_buy_and_hold,120337.57691740792,1.2033757691740792
2024-03-01,AMZN,same_stock_buy_and_hold,121331.54429706396,1.2133154429706396
