account_symbol,timestamp,session,symbol,cash,quantity,close_price,market_value,equity,current_weight,average_entry_price,unrealized_pnl,realized_pnl,cumulative_cost,current_drawdown,peak_equity,cumulative_dividends,cumulative_commission_cost,cumulative_slippage_cost,cumulative_transaction_cost
AMZN,2024-01-08T21:00:00+00:00,2024-01-08,AMZN,0.0,680.796450903985,149.1000061,101506.75498264252,101506.75498264252,1.0,146.81337550274998,1506.754982642523,0.0,99.92504996875661,0.0,101506.75498264252,0.0,49.97501249375312,49.95003747500349,99.92504996875661
AMZN,2024-01-09T21:00:00+00:00,2024-01-09,AMZN,0.0,680.796450903985,151.3699951,103052.15543743361,103052.15543743361,1.0,146.81337550274998,3052.1554374336156,0.0,99.92504996875661,0.0,103052.15543743361,0.0,49.97501249375312,49.95003747500349,99.92504996875661
AMZN,2024-01-10T21:00:00+00:00,2024-01-10,AMZN,0.0,680.796450903985,153.7299957,104658.83547004487,104658.83547004487,1.0,146.81337550274998,4658.835470044876,0.0,99.92504996875661,0.0,104658.83547004487,0.0,49.97501249375312,49.95003747500349,99.92504996875661
AMZN,2024-01-11T21:00:00+00:00,2024-01-11,AMZN,0.0,680.796450903985,155.1799927,105645.98828146631,105645.98828146631,1.0,146.81337550274998,5645.988281466319,0.0,99.92504996875661,0.0,105645.98828146631,0.0,49.97501249375312,49.95003747500349,99.92504996875661
AMZN,2024-01-12T21:00:00+00:00,2024-01-12,AMZN,0.0,680.796450903985,154.6199951,105264.74390287156,105264.74390287156,1.0,146.81337550274998,5264.743902871567,0.0,99.92504996875661,-0.0036086971667965706,105645.98828146631,0.0,49.97501249375312,49.95003747500349,99.92504996875661
AMZN,2024-01-16T21:00:00+00:00,2024-01-16,AMZN,0.0,680.796450903985,153.1600037,104270.78693940122,104270.78693940122,1.0,146.81337550274998,4270.786939401222,0.0,99.92504996875661,-0.013017071111126599,105645.98828146631,0.0,49.97501249375312,49.95003747500349,99.92504996875661
AMZN,2024-01-17T21:00:00+00:00,2024-01-17,AMZN,0.0,680.796450903985,151.7100067,103283.63412797979,103283.63412797979,1.0,146.81337550274998,3283.634127979799,0.0,99.92504996875661,-0.022361039845570252,105645.98828146631,0.0,49.97501249375312,49.95003747500349,99.92504996875661
AMZN,2024-01-18T21:00:00+00:00,2024-01-18,AMZN,0.0,680.796450903985,153.5,104502.2552137617,104502.2552137617,1.0,146.81337550274998,4502.255213761706,0.0,99.92504996875661,-0.010826090855976744,105645.98828146631,0.0,49.97501249375312,49.95003747500349,99.92504996875661
AMZN,2024-01-19T21:00:00+00:00,2024-01-19,AMZN,0.0,680.796450903985,155.3399963,105754.91816447816,105754.91816447816,1.0,146.81337550274998,5754.9181644781675,0.0,99.92504996875661,0.0,105754.91816447816,0.0,49.97501249375312,49.95003747500349,99.92504996875661
AMZN,2024-01-22T21:00:00+00:00,2024-01-22,AMZN,0.0,680.796450903985,154.7799988,105373.67385396306,105373.67385396306,1.0,146.81337550274998,5373.673853963057,0.0,99.92504996875661,-0.0036049794858917794,105754.91816447816,0.0,49.97501249375312,49.95003747500349,99.92504996875661
AMZN,2024-01-23T21:00:00+00:00,2024-01-23,AMZN,0.0,680.796450903985,156.0200043,106217.86519746449,106217.86519746449,1.0,146.81337550274998,6217.8651974644945,0.0,99.92504996875661,0.0,106217.86519746449,0.0,49.97501249375312,49.95003747500349,99.92504996875661
AMZN,2024-01-24T21:00:00+00:00,2024-01-24,AMZN,0.0,680.796450903985,156.8699951,106796.53591740553,106796.53591740553,1.0,146.81337550274998,6796.535917405534,0.0,99.92504996875661,0.0,106796.53591740553,0.0,49.97501249375312,49.95003747500349,99.92504996875661
AMZN,2024-01-25T21:00:00+00:00,2024-01-25,AMZN,0.0,680.796450903985,157.75,107395.64013010364,107395.64013010364,1.0,146.81337550274998,7395.640130103642,0.0,99.92504996875661,0.0,107395.64013010364,0.0,49.97501249375312,49.95003747500349,99.92504996875661
AMZN,2024-01-26T21:00:00+00:00,2024-01-26,AMZN,0.0,680.796450903985,159.1199951,108328.3279319395,108328.3279319395,1.0,146.81337550274998,8328.3279319395,0.0,99.92504996875661,0.0,108328.3279319395,0.0,49.97501249375312,49.95003747500349,99.92504996875661
AMZN,2024-01-29T21:00:00+00:00,2024-01-29,AMZN,0.0,680.796450903985,161.2599945,109785.23192839616,109785.23192839616,1.0,146.81337550274998,9785.231928396153,0.0,99.92504996875661,0.0,109785.23192839616,0.0,49.97501249375312,49.95003747500349,99.92504996875661
AMZN,2024-01-30T21:00:00+00:00,2024-01-30,AMZN,0.0,680.796450903985,159.0,108246.63569373362,108246.63569373362,1.0,146.81337550274998,8246.635693733624,0.0,99.92504996875661,-0.014014601122909087,109785.23192839616,0.0,49.97501249375312,49.95003747500349,99.92504996875661
AMZN,2024-01-31T21:00:00+00:00,2024-01-31,AMZN,0.0,680.796450903985,155.1999969,105659.60706982948,105659.60706982948,1.0,146.81337550274998,5659.607069829484,0.0,99.92504996875661,-0.03757905126308314,109785.23192839616,0.0,49.97501249375312,49.95003747500349,99.92504996875661
AMZN,2024-02-01T21:00:00+00:00,2024-02-01,AMZN,0.0,680.796450903985,159.2799988,108437.25788303098,108437.25788303098,1.0,146.81337550274998,8437.25788303099,0.0,99.92504996875661,-0.012278282075719904,109785.23192839616,0.0,49.97501249375312,49.95003747500349,99.92504996875661
AMZN,2024-02-02T21:00:00+00:00,2024-02-02,AMZN,0.0,680.796450903985,171.8099976,116967.6365959022,116967.6365959022,1.0,146.81337550274998,16967.636595902193,0.0,99.92504996875661,0.0,116967.6365959022,0.0,49.97501249375312,49.95003747500349,99.92504996875661
AMZN,2024-02-05T21:00:00+00:00,2024-02-05,AMZN,0.0,680.796450903985,170.3099976,115946.44191954621,115946.44191954621,1.0,146.81337550274998,15946.441919546214,0.0,99.92504996875661,-0.008730574593756923,116967.6365959022,0.0,49.97501249375312,49.95003747500349,99.92504996875661
AMZN,2024-02-06T21:00:00+00:00,2024-02-06,AMZN,0.0,680.796450903985,169.1499939,115156.71551755072,115156.71551755072,1.0,146.81337550274998,15156.71551755072,0.0,99.92504996875661,-0.015482240481679677,116967.6365959022,0.0,49.97501249375312,49.95003747500349,99.92504996875661
AMZN,2024-02-07T21:00:00+00:00,2024-02-07,AMZN,0.0,680.796450903985,170.5299988,116096.21795570082,116096.21795570082,1.0,146.81337550274998,16096.21795570082,0.0,99.92504996875661,-0.007450083335546309,116967.6365959022,0.0,49.97501249375312,49.95003747500349,99.92504996875661
AMZN,2024-02-08T21:00:00+00:00,2024-02-08,AMZN,0.0,680.796450903985,169.8399963,115626.46670258595,115626.46670258595,1.0,146.81337550274998,15626.46670258595,0.0,99.92504996875661,-0.011466162199632146,116967.6365959022,0.0,49.97501249375312,49.95003747500349,99.92504996875661
AMZN,2024-02-09T21:00:00+00:00,2024-02-09,AMZN,0.0,680.796450903985,174.4499969,118764.9387497312,118764.9387497312,1.0,146.81337550274998,18764.938749731195,0.0,99.92504996875661,0.0,118764.9387497312,0.0,49.97501249375312,49.95003747500349,99.92504996875661
AMZN,2024-02-12T21:00:00+00:00,2024-02-12,AMZN,0.0,680.796450903985,172.3399963,117328.45782984591,117328.45782984591,1.0,146.81337550274998,17328.457829845913,0.0,99.92504996875661,-0.012095159859530025,118764.9387497312,0.0,49.97501249375312,49.95003747500349,99.92504996875661
AMZN,2024-02-13T21:00:00+00:00,2024-02-13,AMZN,0.0,680.796450903985,168.6399994,114809.51307197016,114809.51307197016,1.0,146.81337550274998,14809.513071970165,0.0,99.92504996875661,-0.0333046580868126,118764.9387497312,0.0,49.97501249375312,49.95003747500349,99.92504996875661
AMZN,2024-02-14T21:00:00+00:00,2024-02-14,AMZN,0.0,680.796450903985,170.9799957,116402.57424813861,116402.57424813861,1.0,146.81337550274998,16402.57424813862,0.0,99.92504996875661,-0.019891093503367263,118764.9387497312,0.0,49.97501249375312,49.95003747500349,99.92504996875661
