case_id,symbol,split_role,decision_session,state_template,R1_action_spread,R1_best_action_set,R2_action_spread,R2_best_action_set,R3_action_spread,R3_best_action_set,R2_R3_best_set_changed
AMZN:2023-05-12,AMZN,TRAIN,2023-05-12,CASH,0.043862640478681554,{BUY},0.043862640478681554,{BUY},0.027650668617504814,{BUY},False
AMZN:2023-05-12,AMZN,TRAIN,2023-05-12,LONG,0.045862640645348118,"{BUY,HOLD}",0.045862640645348056,"{BUY,HOLD}",0.045862640645348056,"{BUY,HOLD}",False
AMZN:2023-05-19,AMZN,TRAIN,2023-05-19,CASH,0.027202085507962531,{BUY},0.027202085507962531,{BUY},0.01184107633552278,{BUY},False
AMZN:2023-05-19,AMZN,TRAIN,2023-05-19,LONG,0.029202085674629182,"{BUY,HOLD}",0.029202085674629178,"{BUY,HOLD}",0.029202085674629178,"{BUY,HOLD}",False
AMZN:2023-05-26,AMZN,TRAIN,2023-05-26,CASH,0.022661872497534919,{BUY},0.022661872497534919,{BUY},0.0079260564248350898,{BUY},False
AMZN:2023-05-26,AMZN,TRAIN,2023-05-26,LONG,0.024661872664201355,"{BUY,HOLD}",0.024661872664201421,"{BUY,HOLD}",0.024661872664201421,"{BUY,HOLD}",False
AMZN:2023-06-02,AMZN,TRAIN,2023-06-02,CASH,0.00043246857576976957,"{HOLD,SELL}",0.00043246857576976957,"{HOLD,SELL}",0.04385437304253903,"{HOLD,SELL}",False
AMZN:2023-06-02,AMZN,TRAIN,2023-06-02,LONG,0.0015675315908967964,"{BUY,HOLD}",0.0015675315908966613,"{BUY,HOLD}",0.0015675315908966613,"{BUY,HOLD}",False
AMZN:2023-06-09,AMZN,TRAIN,2023-06-09,CASH,0.010783491797714989,{BUY},0.010783491797714989,{BUY},0.0020433088413680661,"{HOLD,SELL}",True
AMZN:2023-06-09,AMZN,TRAIN,2023-06-09,LONG,0.012783491964381442,"{BUY,HOLD}",0.012783491964381581,"{BUY,HOLD}",0.012783491964381581,"{BUY,HOLD}",False
AMZN:2023-06-16,AMZN,TRAIN,2023-06-16,CASH,0.01770868753854114,{BUY},0.01770868753854114,{BUY},0.0041967413111949695,"{HOLD,SELL}",True
AMZN:2023-06-16,AMZN,TRAIN,2023-06-16,LONG,0.019708687705207506,"{BUY,HOLD}",0.019708687705207627,"{BUY,HOLD}",0.019708687705207627,"{BUY,HOLD}",False
AMZN:2023-06-30,AMZN,VALIDATION,2023-06-30,CASH,0.029611974694304016,"{HOLD,SELL}",0.029611974694304016,"{HOLD,SELL}",0.058224199305305979,"{HOLD,SELL}",False
AMZN:2023-06-30,AMZN,VALIDATION,2023-06-30,LONG,0.027611974527637733,{SELL},0.027611974527637608,{SELL},0.027611974527637608,{SELL},False
AMZN:2023-07-07,AMZN,VALIDATION,2023-07-07,CASH,0.041546840601464928,{BUY},0.041546840601464928,{BUY},0.026402054919841694,{BUY},False
AMZN:2023-07-07,AMZN,VALIDATION,2023-07-07,LONG,0.043546840768131055,"{BUY,HOLD}",0.043546840768131166,"{BUY,HOLD}",0.043546840768131166,"{BUY,HOLD}",False
ARR:2023-05-05,ARR,TRAIN,2023-05-05,CASH,0.016873069078962247,"{HOLD,SELL}",0.016873069078962247,"{HOLD,SELL}",0.048371691480968523,"{HOLD,SELL}",False
ARR:2023-05-05,ARR,TRAIN,2023-05-05,LONG,0.014873068912295529,{SELL},0.014873068912295404,{SELL},0.014873068912295404,{SELL},False
ARR:2023-05-12,ARR,TRAIN,2023-05-12,CASH,0.023564778891935211,"{HOLD,SELL}",0.023564778891935211,"{HOLD,SELL}",0.058656115220157318,"{HOLD,SELL}",False
ARR:2023-05-12,ARR,TRAIN,2023-05-12,LONG,0.021564778725268845,{SELL},0.021564778725268751,{SELL},0.021564778725268751,{SELL},False
ARR:2023-05-19,ARR,TRAIN,2023-05-19,CASH,0.013473971613017702,"{HOLD,SELL}",0.013473971613017702,"{HOLD,SELL}",0.066508666558594623,"{HOLD,SELL}",False
