case_id,symbol,split_role,decision_session,execution_session,maturity_session,state_template,action,decision_close_price,pre_execution_equity,terminal_equity,hold_terminal_equity,turnover_notional,commission_cost,slippage_cost,total_cost,action_was_noop,action_mdd,hold_mdd,r3_drawdown_penalty,R1,R2,R3
AAPL:2023-06-16,AAPL,TRAIN,2023-06-16,2023-06-20,2023-06-26,LONG,HOLD,184.91999820000001,99724.20803322288,100189.27433668988,100189.27433668988,0,0,0,0,True,0.0092513139037432301,0.0092513139037432301,0,0.0046526841202755931,0,0
AAPL:2023-06-16,AAPL,TRAIN,2023-06-16,2023-06-20,2023-06-26,LONG,SELL,184.91999820000001,99724.20803322288,99624.508756241674,100189.27433668988,99674.345929206276,49.837172964603141,49.862104016598479,99.699276981201621,False,0,0.0092513139037432301,0,-0.0010002500833645618,-0.0056529342036401083,-0.0056529342036401083
AAPL:2023-06-30,AAPL,VALIDATION,2023-06-30,2023-07-03,2023-07-10,CASH,BUY,193.97000120000001,100000,97234.767844706177,100000,99950.024987506258,49.975012493753127,49.950037475011094,99.925049968764228,False,0.026679730787571798,0,0.027042094520021539,-0.028041844603323336,-0.028041844603323336,-0.055083939123344874
AAPL:2023-06-30,AAPL,VALIDATION,2023-06-30,2023-07-03,2023-07-10,CASH,HOLD,193.97000120000001,100000,100000,100000,0,0,0,0,True,0,0,0,0,0,0
AAPL:2023-06-30,AAPL,VALIDATION,2023-06-30,2023-07-03,2023-07-10,CASH,SELL,193.97000120000001,100000,100000,100000,0,0,0,0,True,0,0,0,0,0,0
AAPL:2023-06-30,AAPL,VALIDATION,2023-06-30,2023-07-03,2023-07-10,LONG,BUY,193.97000120000001,99902.045471555102,97236.685793246259,97236.685793246259,0,0,0,0,True,0.026679730787571798,0.026679730787571798,0,-0.027042094520021542,0,0
AAPL:2023-06-30,AAPL,VALIDATION,2023-06-30,2023-07-03,2023-07-10,LONG,HOLD,193.97000120000001,99902.045471555102,97236.685793246259,97236.685793246259,0,0,0,0,True,0.026679730787571798,0.026679730787571798,0,-0.027042094520021542,0,0
AAPL:2023-06-30,AAPL,VALIDATION,2023-06-30,2023-07-03,2023-07-10,LONG,SELL,193.97000120000001,99902.045471555102,99802.168401594929,97236.685793246259,99852.094448819335,49.926047224409672,49.951022735773023,99.877069960182695,False,0,0.026679730787571798,0,-0.0010002500833644506,0.026041844436657031,0.026041844436657031
AAPL:2023-07-07,AAPL,VALIDATION,2023-07-07,2023-07-10,2023-07-14,CASH,BUY,190.67999270000001,100000,100654.89847608356,100000,99950.024987506244,49.97501249375312,49.950037475013374,99.925049968766501,False,0.0062347708670149604,0,0.0062542882173250488,0.0065276333295708746,0.0065276333295708746,0.00027334511224582584
AAPL:2023-07-07,AAPL,VALIDATION,2023-07-07,2023-07-10,2023-07-14,CASH,HOLD,190.67999270000001,100000,100000,100000,0,0,0,0,True,0,0,0,0,0,0
AAPL:2023-07-07,AAPL,VALIDATION,2023-07-07,2023-07-10,2023-07-14,CASH,SELL,190.67999270000001,100000,100000,100000,0,0,0,0,True,0,0,0,0,0,0
AAPL:2023-07-07,AAPL,VALIDATION,2023-07-07,2023-07-10,2023-07-14,LONG,BUY,190.67999270000001,99255.297747869059,100005.24947576212,100005.24947576212,0,0,0,0,True,0.0062347708670149604,0.0062347708670149604,0,0.0075273834128731405,0,0
AAPL:2023-07-07,AAPL,VALIDATION,2023-07-07,2023-07-10,2023-07-14,LONG,HOLD,190.67999270000001,99255.297747869059,100005.24947576212,100005.24947576212,0,0,0,0,True,0.0062347708670149604,0.0062347708670149604,0,0.0075273834128731405,0,0
AAPL:2023-07-07,AAPL,VALIDATION,2023-07-07,2023-07-10,2023-07-14,LONG,SELL,190.67999270000001,99255.297747869059,99156.067263945632,100005.24947576212,99205.670098995135,49.602835049497571,49.627648873932316,99.230483923429887,False,0,0.0062347708670149604,0,-0.0010002500833645618,-0.008527633496237693,-0.008527633496237693
AEMD:2023-05-05,AEMD,TRAIN,2023-05-05,2023-05-08,2023-05-12,CASH,BUY,264,100000,94023.599952970588,100000,99950.024987506258,49.975012493753127,49.950037475003597,99.925049968756724,False,0.13888888888888895,0,0.14953173397096386,-0.06162437189973681,-0.06162437189973681,-0.21115610587070066
AEMD:2023-05-05,AEMD,TRAIN,2023-05-05,2023-05-08,2023-05-12,CASH,HOLD,264,100000,100000,100000,0,0,0,0,True,0,0,0,0,0,0
AEMD:2023-05-05,AEMD,TRAIN,2023-05-05,2023-05-08,2023-05-12,CASH,SELL,264,100000,100000,100000,0,0,0,0,True,0,0,0,0,0,0
AEMD:2023-05-05,AEMD,TRAIN,2023-05-05,2023-05-08,2023-05-12,LONG,BUY,264,103030.30303030304,96969.696969696975,96969.696969696975,0,0,0,0,True,0.13888888888888884,0.13888888888888884,0,-0.060624621816434854,0,0
AEMD:2023-05-05,AEMD,TRAIN,2023-05-05,2023-05-08,2023-05-12,LONG,HOLD,264,103030.30303030304,96969.696969696975,96969.696969696975,0,0,0,0,True,0.13888888888888884,0.13888888888888884,0,-0.060624621816434854,0,0
AEMD:2023-05-05,AEMD,TRAIN,2023-05-05,2023-05-08,2023-05-12,LONG,SELL,264,103030.30303030304,102927.29848484851,96969.696969696975,102978.7878787879,51.489393939393949,51.515151515139117,103.00454545453306,False,0,0.13888888888888884,0,-0.0010002500833644506,0.059624371733070482,0.059624371733070482
AEMD:2023-05-12,AEMD,TRAIN,2023-05-12,2023-05-15,2023-05-19,CASH,BUY,256,100000,99900.074950031238,100000,99950.024987506244,49.97501249375312,49.950037475013694,99.925049968766814,False,0.060606060606060552,0,0.06252035698133393,-0.00099975008330204017,-0.00099975008330204017,-0.063520107064635969
AEMD:2023-05-12,AEMD,TRAIN,2023-05-12,2023-05-15,2023-05-19,CASH,HOLD,256,100000,100000,100000,0,0,0,0,True,0,0,0,0,0,0
AEMD:2023-05-12,AEMD,TRAIN,2023-05-12,2023-05-15,2023-05-19,CASH,SELL,256,100000,100000,100000,0,0,0,0,True,0,0,0,0,0,0
AEMD:2023-05-12,AEMD,TRAIN,2023-05-12,2023-05-15,2023-05-19,LONG,BUY,256,96875,96875,96875,0,0,0,0,True,0.060606060606060552,0.060606060606060552,0,0,0,0
AEMD:2023-05-12,AEMD,TRAIN,2023-05-12,2023-05-15,2023-05-19,LONG,HOLD,256,96875,96875,96875,0,0,0,0,True,0.060606060606060552,0.060606060606060552,0,0,0,0
AEMD:2023-05-12,AEMD,TRAIN,2023-05-12,2023-05-15,2023-05-19,LONG,SELL,256,96875,96778.149218749997,96875,96826.5625,48.413281250000004,48.437499999998138,96.850781249998136,False,0,0.060606060606060552,0,-0.0010002500833646729,-0.0010002500833646729,-0.0010002500833646729
AEMD:2023-05-19,AEMD,TRAIN,2023-05-19,2023-05-22,2023-05-26,CASH,BUY,248,100000,99900.074950031238,100000,99950.024987506244,49.97501249375312,49.950037475013694,99.925049968766814,False,0.0625,0,0.064538521137571178,-0.00099975008330204017,-0.00099975008330204017,-0.065538271220873218
AEMD:2023-05-19,AEMD,TRAIN,2023-05-19,2023-05-22,2023-05-26,CASH,HOLD,248,100000,100000,100000,0,0,0,0,True,0,0,0,0,0,0
AEMD:2023-05-19,AEMD,TRAIN,2023-05-19,2023-05-22,2023-05-26,CASH,SELL,248,100000,100000,100000,0,0,0,0,True,0,0,0,0,0,0
AEMD:2023-05-19,AEMD,TRAIN,2023-05-19,2023-05-22,2023-05-26,LONG,BUY,248,100000,100000,100000,0,0,0,0,True,0.0625,0.0625,0,0,0,0
AEMD:2023-05-19,AEMD,TRAIN,2023-05-19,2023-05-22,2023-05-26,LONG,HOLD,248,100000,100000,100000,0,0,0,0,True,0.0625,0.0625,0,0,0,0
AEMD:2023-05-19,AEMD,TRAIN,2023-05-19,2023-05-22,2023-05-26,LONG,SELL,248,100000,99900.025000000009,100000,99950.000000000015,49.975000000000009,49.999999999998074,99.97499999999809,False,0,0.0625,0,-0.0010002500833645618,-0.0010002500833645618,-0.0010002500833645618
AEMD:2023-05-26,AEMD,TRAIN,2023-05-26,2023-05-30,2023-06-05,CASH,BUY,248,100000,109567.82413874393,100000,99950.024987506244,49.97501249375312,49.950037475013694,99.925049968766814,False,0.0625,0,0.064538521137571178,0.091373570047713043,0.091373570047713043,0.026835048910141865
AEMD:2023-05-26,AEMD,TRAIN,2023-05-26,2023-05-30,2023-06-05,CASH,HOLD,248,100000,100000,100000,0,0,0,0,True,0,0,0,0,0,0
AEMD:2023-05-26,AEMD,TRAIN,2023-05-26,2023-05-30,2023-06-05,CASH,SELL,248,100000,100000,100000,0,0,0,0,True,0,0,0,0,0,0
AEMD:2023-05-26,AEMD,TRAIN,2023-05-26,2023-05-30,2023-06-05,LONG,BUY,248,100000,109677.41935483871,109677.41935483871,0,0,0,0,True,0.0625,0.0625,0,0.092373320131015069,0,0
AEMD:2023-05-26,AEMD,TRAIN,2023-05-26,2023-05-30,2023-06-05,LONG,HOLD,248,100000,109677.41935483871,109677.41935483871,0,0,0,0,True,0.0625,0.0625,0,0.092373320131015069,0,0
AEMD:2023-05-26,AEMD,TRAIN,2023-05-26,2023-05-30,2023-06-05,LONG,SELL,248,100000,99900.025000000009,109677.41935483871,99950.000000000015,49.975000000000009,49.999999999998074,99.97499999999809,False,0,0.0625,0,-0.0010002500833645618,-0.093373570214379656,-0.093373570214379656
AEMD:2023-06-02,AEMD,TRAIN,2023-06-02,2023-06-05,2023-06-09,CASH,BUY,256,100000,109265.70697659667,100000,99950.024987506244,49.97501249375312,49.95003747501012,99.925049968763233,False,0.05555555555555558,0,0.057158413839948637,0.088612408606385196,0.088612408606385196,0.031453994766436559
AEMD:2023-06-02,AEMD,TRAIN,2023-06-02,2023-06-05,2023-06-09,CASH,HOLD,256,100000,100000,100000,0,0,0,0,True,0,0,0,0,0,0
AEMD:2023-06-02,AEMD,TRAIN,2023-06-02,2023-06-05,2023-06-09,CASH,SELL,256,100000,100000,100000,0,0,0,0,True,0,0,0,0,0,0
AEMD:2023-06-02,AEMD,TRAIN,2023-06-02,2023-06-05,2023-06-09,LONG,BUY,256,100000,109375,109375,0,0,0,0,True,0.05555555555555558,0.05555555555555558,0,0.089612158689687138,0,0
AEMD:2023-06-02,AEMD,TRAIN,2023-06-02,2023-06-05,2023-06-09,LONG,HOLD,256,100000,109375,109375,0,0,0,0,True,0.05555555555555558,0.05555555555555558,0,0.089612158689687138,0,0
AEMD:2023-06-02,AEMD,TRAIN,2023-06-02,2023-06-05,2023-06-09,LONG,SELL,256,100000,99900.024999999994,109375,99950,49.975000000000001,49.999999999994493,99.974999999994495,False,0,0.05555555555555558,0,-0.0010002500833646729,-0.090612408773051822,-0.090612408773051822
AEMD:2023-06-09,AEMD,TRAIN,2023-06-09,2023-06-12,2023-06-16,CASH,BUY,280,100000,108714.78744562225,100000,99950.024987506258,49.975012493753127,49.950037475003597,99.925049968756724,False,0,0,0,0.083557637944761134,0.083557637944761134,0.083557637944761134
AEMD:2023-06-09,AEMD,TRAIN,2023-06-09,2023-06-12,2023-06-16,CASH,HOLD,280,100000,100000,100000,0,0,0,0,True,0,0,0,0,0,0
AEMD:2023-06-09,AEMD,TRAIN,2023-06-09,2023-06-12,2023-06-16,CASH,SELL,280,100000,100000,100000,0,0,0,0,True,0,0,0,0,0,0
AEMD:2023-06-09,AEMD,TRAIN,2023-06-09,2023-06-12,2023-06-16,LONG,BUY,280,97142.857142857145,105714.28571428572,105714.28571428572,0,0,0,0,True,0,0,0,0.084557388028063174,0,0
