Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2022-12-19,383.4700012,383.8200073,378.2799988,380.019989,79878100,0,0
2022-12-20,379.230011,382.230011,377.8500061,380.5400085,74427200,0,0
2022-12-21,383.25,387.4100037,382.6900024,386.230011,78167400,0,0
2022-12-22,383.0499878,386.2099915,374.769989,380.7200012,100120900,0,0
2022-12-23,379.6499939,383.0599976,378.0299988,382.9100037,59857300,0,0
2022-12-27,382.7900085,383.1499939,379.6499939,381.3999939,51638200,0,0
2022-12-28,381.3299866,383.3900146,376.4200134,376.6600037,70911500,0,0
2022-12-29,379.6300049,384.3500061,379.0799866,383.4400024,66970900,0,0
2022-12-30,380.6400146,382.5799866,378.4299927,382.4299927,84022200,0,0
2023-01-03,384.3699951,386.4299927,377.8299866,380.8200073,74850700,0,0
2023-01-04,383.1799927,385.8800049,380,383.7600098,85934100,0,0
2023-01-05,381.7200012,381.8399963,378.7600098,379.3800049,76970500,0,0
2023-01-06,382.6099854,389.25,379.4100037,388.0799866,104189600,0,0
2023-01-09,390.3699951,393.7000122,387.6700134,387.8599854,73978100,0,0
2023-01-10,387.25,390.6499939,386.269989,390.5799866,65358100,0,0
2023-01-11,392.230011,395.6000061,391.3800049,395.519989,68881100,0,0
2023-01-12,396.6700134,398.4899902,392.4200134,396.9599915,90157700,0,0
2023-01-13,393.6199951,399.1000061,393.3399963,398.5,63903900,0,0
2023-01-17,398.480011,400.230011,397.0599976,397.769989,62677300,0,0
2023-01-18,399.0100098,400.1199951,391.2799988,391.4899902,99632300,0,0
2023-01-19,389.3599854,391.0799866,387.2600098,388.6400146,86958900,0,0
2023-01-20,390.1000061,396.0400085,388.3800049,395.8800049,91806400,0,0
2023-01-23,396.7200012,402.6499939,395.7200012,400.6300049,84178800,0,0
2023-01-24,398.8800049,401.1499939,397.6400146,400.2000122,59524900,0,0
2023-01-25,395.9500122,400.7000122,393.5599976,400.3500061,84800300,0,0
2023-01-26,403.1300049,404.9200134,400.0299988,404.75,72287400,0,0
2023-01-27,403.6600037,408.1600037,403.4400024,405.6799927,68346200,0,0
2023-01-30,402.7999878,405.1300049,400.2799988,400.5899963,74202000,0,0
2023-01-31,401.1300049,406.5299988,400.769989,406.480011,86811800,0,0
2023-02-01,405.2099915,413.6700134,402.3500061,410.7999878,101459200,0,0
