Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2023-06-01,418.0899963,422.9200134,416.7900085,421.8200073,88865000,0,0
2023-06-02,424.5,428.7399902,423.9500122,427.9200134,91426200,0,0
2023-06-05,428.2799988,429.6199951,426.3699951,427.1000061,65460200,0,0
2023-06-06,426.6700134,428.5799866,425.9899902,428.0299988,64022200,0,0
2023-06-07,428.4400024,429.6199951,426.1099854,426.5499878,85373300,0,0
2023-06-08,426.6199951,429.6000061,425.8200073,429.1300049,61952800,0,0
2023-06-09,429.9599915,431.9899902,428.8699951,429.8999939,85742800,0,0
2023-06-12,430.9200134,433.8800049,430.1700134,433.7999878,76104300,0,0
2023-06-13,435.3200073,437.3299866,434.6300049,436.6600037,95899700,0,0
2023-06-14,437.0100098,439.0599976,433.5899963,437.1799927,100612100,0,0
2023-06-15,436.3299866,443.8999939,436.230011,442.6000061,110303100,0,0
2023-06-16,443.019989,443.6099854,438.9700012,439.4599915,114165800,1.638,0
2023-06-20,437.4500122,438.3699951,435.0299988,437.1799927,76160400,0,0
2023-06-21,436.1600037,436.9899902,434.3299866,434.9400024,76982300,0,0
2023-06-22,433.9500122,436.6199951,433.6000061,436.5100098,70637200,0,0
2023-06-23,432.9299927,435.0599976,432.4700012,433.2099915,92074500,0,0
2023-06-26,432.6199951,434.6099854,431.1900024,431.4400024,72823600,0,0
2023-06-27,432.3500061,436.8099976,431.8800049,436.1700134,72813700,0,0
2023-06-28,435.0499878,437.4400024,434.4100037,436.3900146,75636000,0,0
2023-06-29,435.9599915,438.2799988,435.5400085,438.1099854,67882300,0,0
2023-06-30,441.4400024,444.2999878,441.1099854,443.2799988,104964000,0,0
2023-07-03,442.9200134,444.0799866,442.6300049,443.7900085,32793400,0,0
2023-07-05,441.9100037,443.8900146,441.8999939,443.1300049,58418400,0,0
2023-07-06,439.4200134,440.1000061,437.0599976,439.6600037,80658300,0,0
2023-07-07,438.6300049,442.6400146,438.2999878,438.5499878,86134200,0,0
2023-07-10,438.1799927,439.8399963,437.5899963,439.6600037,62443500,0,0
2023-07-11,440.4500122,442.9700012,439.4400024,442.4599915,64463800,0,0
2023-07-12,446.3900146,447.480011,444.9100037,446.019989,91924500,0,0
2023-07-13,447.8999939,450.3800049,447.4500122,449.5599976,72425200,0,0
2023-07-14,450.480011,451.3599854,448.4899902,449.2799988,69815800,0,0
2023-07-17,449.1300049,451.9299927,449.0799866,450.8399963,52680200,0,0
2023-07-18,450.5,454.8599854,450.0499878,454.1900024,80668200,0,0
2023-07-19,455.0100098,456.4299927,454.1099854,455.2000122,65891700,0,0
2023-07-20,454.1700134,455.1000061,451.4400024,452.1799927,70591600,0,0
2023-07-21,453.9599915,454.1700134,452.1700134,452.1799927,71275600,0,0
2023-07-24,453.3699951,455.0400085,452.2999878,454.2000122,54023400,0,0
2023-07-25,453.9200134,456.7399902,453.8699951,455.4400024,55191200,0,0
2023-07-26,454.4700012,456.9899902,453.3800049,455.5100098,71052900,0,0
2023-07-27,459.019989,459.4400024,451.5499878,452.4899902,92194400,0,0
2023-07-28,455.8800049,457.7799988,452.4899902,456.9200134,80011800,0,0
2023-07-31,457.4100037,458.1600037,456.0499878,457.7900085,62040400,0,0
2023-08-01,456.269989,457.25,455.4899902,456.480011,55291500,0,0
2023-08-02,453.25,453.519989,449.3500061,450.1300049,93933400,0,0
2023-08-03,448.0400085,450.7900085,447.3699951,448.8399963,64276100,0,0
2023-08-04,450.7200012,452.8999939,446.269989,446.8099976,100128900,0,0
2023-08-07,448.7099915,450.8699951,447.9899902,450.7099915,58357500,0,0
2023-08-08,448.0799866,450.7000122,445.269989,448.75,71361300,0,0
2023-08-09,449.0299988,449.2000122,444.9599915,445.75,78789600,0,0
2023-08-10,448.1900024,451.7000122,444.7000122,445.9100037,93005500,0,0
2023-08-11,443.9700012,446.7000122,443.3500061,445.6499939,68690900,0,0
2023-08-14,444.7000122,448.1099854,444.3800049,448.1099854,47867400,0,0
2023-08-15,446.269989,446.6400146,442.2999878,442.8900146,75707500,0,0
2023-08-16,442.4599915,444.1799927,439.5299988,439.6400146,80107200,0,0
2023-08-17,441.1600037,441.4299927,435.75,436.2900085,95711300,0,0
2023-08-18,433.3699951,437.5700073,433.0100098,436.5,98852000,0,0
2023-08-21,437.5499878,440.1099854,435.3200073,439.3399963,68719000,0,0
2023-08-22,441.1799927,441.1799927,437.5700073,438.1499939,64994200,0,0
2023-08-23,439.25,443.6700134,439.1000061,443.0299988,68441000,0,0
2023-08-24,444.6900024,445.2200012,436.8599854,436.8900146,88517300,0,0
2023-08-25,438.6799927,441.2999878,435,439.9700012,102325100,0,0
2023-08-28,442.2399902,443.3999939,439.9700012,442.7600098,61595400,0,0
2023-08-29,442.6499939,449.4500122,442.4599915,449.1600037,83081900,0,0
2023-08-30,449.5100098,451.6700134,448.7799988,451.0100098,69053900,0,0
2023-08-31,451.6499939,452.8299866,450.1600037,450.3500061,66084600,0,0
2023-09-01,453.1700134,453.6700134,449.6799927,451.1900024,58944100,0,0
2023-09-05,450.730011,451.0599976,449.1700134,449.2399902,55166200,0,0
2023-09-06,448.3999939,448.5100098,443.8099976,446.2200012,70758500,0,0
2023-09-07,443.1099854,445.5499878,442.75,444.8500061,70355400,0,0
2023-09-08,444.8999939,447.1099854,444.5299988,445.519989,61659700,0,0
2023-09-11,448.2399902,448.769989,446.4700012,448.4500122,60180100,0,0
2023-09-12,446.9500122,448.5299988,445.3900146,445.9899902,67565400,0,0
2023-09-13,446.2200012,447.7099915,445.0799866,446.5100098,60199300,0,0
2023-09-14,449.0700073,451.0799866,447.7200012,450.3599854,83430800,0,0
2023-09-15,447.1400146,447.480011,442.9200134,443.3699951,111848900,1.583,0
2023-09-18,443.0499878,444.9700012,442.5599976,443.6300049,55752200,0,0
2023-09-19,442.6799927,443.2900085,439.9400024,442.7099915,66514600,0,0
2023-09-20,444.0100098,444.4400024,438.4299927,438.6400146,82562600,0,0
2023-09-21,435.7000122,435.9700012,431.230011,431.3900146,104095800,0,0
2023-09-22,432.4500122,434.1000061,429.9899902,430.4200134,100829700,0,0
2023-09-25,429.1700134,432.269989,428.7200012,432.230011,70874500,0,0
2023-09-26,429.0899963,429.8200073,425.019989,425.8800049,96168400,0,0
2023-09-27,427.0899963,427.6700134,422.2900085,426.0499878,104705800,0,0
2023-09-28,425.480011,430.25,424.8699951,428.519989,92258300,0,0
2023-09-29,431.6700134,431.8500061,425.9100037,427.480011,115111300,0,0
2023-10-02,426.6199951,428.6000061,424.4599915,427.3099976,83798600,0,0
2023-10-03,425.0599976,427.3699951,420.1799927,421.5899963,103760600,0,0
2023-10-04,422.0700073,425.4299927,420.5599976,424.6600037,87453000,0,0
2023-10-05,424.3599854,425.3699951,421.1700134,424.5,70142700,0,0
2023-10-06,421.9700012,431.1300049,420.6000061,429.5400085,113273300,0,0
2023-10-09,427.5799866,432.8800049,427.0100098,432.2900085,80374400,0,0
2023-10-10,432.9400024,437.2200012,432.5299988,434.5400085,78607300,0,0
2023-10-11,435.6400146,436.5799866,433.1799927,436.3200073,62451700,0,0
2023-10-12,436.9500122,437.3399963,431.230011,433.6600037,81154200,0,0
2023-10-13,435.2099915,436.4500122,429.8800049,431.5,95143100,0,0
2023-10-16,433.8200073,437.1400146,433.5700073,436.0400085,75433200,0,0
2023-10-17,432.8099976,438.1400146,432.4500122,436.019989,75324700,0,0
2023-10-18,434.1900024,435.1799927,429.0899963,430.2099915,93559800,0,0
2023-10-19,430.9500122,432.8200073,425.730011,426.4299927,121323000,0,0
2023-10-20,425.980011,426.5400085,421.0799866,421.1900024,123919900,0,0
2023-10-23,419.6099854,424.4500122,417.7999878,420.4599915,92035100,0,0
2023-10-24,422.6499939,424.8200073,420.7399902,423.6300049,78564200,0,0
2023-10-25,421.8900146,421.9200134,417.019989,417.5499878,94223200,0,0
2023-10-26,416.4500122,417.3299866,411.6000061,412.5499878,115156800,0,0
2023-10-27,414.1900024,414.6000061,409.2099915,410.6799927,107367700,0,0
2023-10-30,413.5599976,416.6799927,412.2200012,415.5899963,86562700,0,0
2023-10-31,416.1799927,418.5299988,414.2099915,418.2000122,79665200,0,0
2023-11-01,419.2000122,423.5,418.6499939,422.6600037,98068100,0,0
2023-11-02,426.5799866,430.9200134,426.5599976,430.7600098,94938900,0,0
