research_question,contrast,role,scope,metric,delta,storage_unit,display_unit,direction_metadata
RQ3a,A1-M2,PRIMARY,AMZN,maximum_drawdown,-0.03391415429016309,decimal_fraction,percentage_points,lower
RQ3a,A1-M2,PRIMARY,AMZN,calmar_ratio,6.579527385528333,ratio,absolute_ratio_difference,higher
RQ3a,A1-M2,PRIMARY,AMZN,average_exposure,0.31200000000000006,decimal_fraction,percentage_points,descriptive
RQ3a,A1-M2,PRIMARY,AMZN,turnover,-2.1017715177029235,ratio,absolute_ratio_difference,descriptive
RQ3a,A1-M2,PRIMARY,AMZN,total_transaction_cost,-198.9371548435241,USD,USD_difference,lower_cost_only
RQ3a,A1-M2,PRIMARY,JPM,cumulative_return,0.2106988486064828,decimal_fraction,percentage_points,higher
RQ3a,A1-M2,PRIMARY,JPM,sharpe_ratio,2.2356027717324056,ratio,absolute_ratio_difference,higher
RQ3a,A1-M2,PRIMARY,JPM,maximum_drawdown,0.03135188289031343,decimal_fraction,percentage_points,lower
RQ3a,A1-M2,PRIMARY,JPM,calmar_ratio,5.04286604932355,ratio,absolute_ratio_difference,higher
RQ3a,A1-M2,PRIMARY,JPM,average_exposure,0.65296736746142,decimal_fraction,percentage_points,descriptive
RQ3a,A1-M2,PRIMARY,JPM,turnover,-1.0985415300876142,ratio,absolute_ratio_difference,descriptive
RQ3a,A1-M2,PRIMARY,JPM,total_transaction_cost,-99.11769147215597,USD,USD_difference,lower_cost_only
RQ3b,A2-M2,PRIMARY,aggregate,cumulative_return,0.10142668233356611,decimal_fraction,percentage_points,higher
RQ3b,A2-M2,PRIMARY,aggregate,sharpe_ratio,1.9010019142857142,ratio,absolute_ratio_difference,higher
RQ3b,A2-M2,PRIMARY,aggregate,maximum_drawdown,-0.012850937392431039,decimal_fraction,percentage_points,lower
RQ3b,A2-M2,PRIMARY,aggregate,calmar_ratio,7.291649050319056,ratio,absolute_ratio_difference,higher
RQ3b,A2-M2,PRIMARY,aggregate,average_exposure,0.053333333333333344,decimal_fraction,percentage_points,descriptive
RQ3b,A2-M2,PRIMARY,aggregate,turnover,-1.3517833961596473,ratio,absolute_ratio_difference,descriptive
RQ3b,A2-M2,PRIMARY,aggregate,total_transaction_cost,-397.979896284455,USD,USD_difference,lower_cost_only
RQ3b,A2-M2,PRIMARY,AAPL,cumulative_return,0.0,decimal_fraction,percentage_points,higher
RQ3b,A2-M2,PRIMARY,AAPL,sharpe_ratio,,ratio,absolute_ratio_difference,higher
RQ3b,A2-M2,PRIMARY,AAPL,maximum_drawdown,0.0,decimal_fraction,percentage_points,lower
RQ3b,A2-M2,PRIMARY,AAPL,calmar_ratio,,ratio,absolute_ratio_difference,higher
RQ3b,A2-M2,PRIMARY,AAPL,average_exposure,0.0,decimal_fraction,percentage_points,descriptive
RQ3b,A2-M2,PRIMARY,AAPL,turnover,0.0,ratio,absolute_ratio_difference,descriptive
RQ3b,A2-M2,PRIMARY,AAPL,total_transaction_cost,0.0,USD,USD_difference,lower_cost_only
RQ3b,A2-M2,PRIMARY,AMZN,cumulative_return,0.29471364100038255,decimal_fraction,percentage_points,higher
RQ3b,A2-M2,PRIMARY,AMZN,sharpe_ratio,1.7664975658677147,ratio,absolute_ratio_difference,higher
RQ3b,A2-M2,PRIMARY,AMZN,maximum_drawdown,-0.03391415429016309,decimal_fraction,percentage_points,lower
RQ3b,A2-M2,PRIMARY,AMZN,calmar_ratio,9.50468797374936,ratio,absolute_ratio_difference,higher
RQ3b,A2-M2,PRIMARY,AMZN,average_exposure,0.384,decimal_fraction,percentage_points,descriptive
RQ3b,A2-M2,PRIMARY,AMZN,turnover,-2.157348291448673,ratio,absolute_ratio_difference,descriptive
RQ3b,A2-M2,PRIMARY,AMZN,total_transaction_cost,-198.93715484353416,USD,USD_difference,lower_cost_only
RQ3b,A2-M2,PRIMARY,JPM,cumulative_return,0.009566406000315442,decimal_fraction,percentage_points,higher
RQ3b,A2-M2,PRIMARY,JPM,sharpe_ratio,,ratio,absolute_ratio_difference,higher
RQ3b,A2-M2,PRIMARY,JPM,maximum_drawdown,-0.06385531134262568,decimal_fraction,percentage_points,lower
RQ3b,A2-M2,PRIMARY,JPM,calmar_ratio,,ratio,absolute_ratio_difference,higher
RQ3b,A2-M2,PRIMARY,JPM,average_exposure,-0.224,decimal_fraction,percentage_points,descriptive
RQ3b,A2-M2,PRIMARY,JPM,turnover,-2.005727622283981,ratio,absolute_ratio_difference,descriptive
RQ3b,A2-M2,PRIMARY,JPM,total_transaction_cost,-199.04274144092085,USD,USD_difference,lower_cost_only
Context,A1-M1,SECONDARY CONTEXT,aggregate,cumulative_return,-0.005734979322207678,decimal_fraction,percentage_points,higher
Context,A1-M1,SECONDARY CONTEXT,aggregate,sharpe_ratio,-0.4981634552630605,ratio,absolute_ratio_difference,higher
Context,A1-M1,SECONDARY CONTEXT,aggregate,maximum_drawdown,-7.444329352235268e-05,decimal_fraction,percentage_points,lower
Context,A1-M1,SECONDARY CONTEXT,aggregate,calmar_ratio,-0.294135265715437,ratio,absolute_ratio_difference,higher
Context,A1-M1,SECONDARY CONTEXT,aggregate,average_exposure,0.19381302565608216,decimal_fraction,percentage_points,descriptive
Context,A1-M1,SECONDARY CONTEXT,aggregate,turnover,-0.7011920908668905,ratio,absolute_ratio_difference,descriptive
