session,symbol,series,drawdown
2024-02-21,AMZN,strategy,-0.033591290937993734
2024-02-22,AMZN,strategy,0.0
2024-02-23,AMZN,strategy,0.0
2024-02-26,AMZN,strategy,-0.0014858551450243063
2024-02-27,AMZN,strategy,-0.008286257239988437
2024-02-28,AMZN,strategy,-0.010457750399922139
2024-02-29,AMZN,strategy,0.0
2024-03-01,AMZN,strategy,0.0
2024-03-04,AMZN,strategy,-0.0035910638294845976
2024-03-05,AMZN,strategy,-0.023005308452438644
2024-03-06,AMZN,strategy,-0.026428047740356564
2024-03-07,AMZN,strategy,-0.007855425264131521
2024-03-08,AMZN,strategy,-0.016103664463447465
2024-03-11,AMZN,strategy,-0.03512509515121698
2024-03-12,AMZN,strategy,-0.015879260357675395
2024-03-13,AMZN,strategy,-0.009314350739663246
2024-03-14,AMZN,strategy,0.0
2024-03-15,AMZN,strategy,-0.02422378629370625
2024-03-18,AMZN,strategy,-0.023888135944056033
2024-03-19,AMZN,strategy,-0.015944090069930028
2024-03-20,AMZN,strategy,-0.003356677482517445
2024-03-21,AMZN,strategy,-0.003356677482517445
2024-03-22,AMZN,strategy,0.0
2024-03-25,AMZN,strategy,0.0
2024-03-26,AMZN,strategy,-0.007845993809091678
2024-03-27,AMZN,strategy,0.0
2024-03-28,AMZN,strategy,0.0
2024-04-01,AMZN,strategy,0.0
2024-04-02,AMZN,strategy,-0.00154721112970857
2024-04-03,AMZN,strategy,0.0
2024-04-04,AMZN,strategy,-0.013212014972400321
2024-04-05,AMZN,strategy,0.0
2024-04-08,AMZN,strategy,0.0
2024-04-09,AMZN,strategy,0.0
2024-04-10,AMZN,strategy,0.0
2024-04-11,AMZN,strategy,0.0
2024-04-12,AMZN,strategy,-0.015445639524562349
2024-04-15,AMZN,strategy,-0.028722602015127774
2024-04-16,AMZN,strategy,-0.030309419233223056
2024-04-17,AMZN,strategy,-0.04110026010361911
2024-04-18,AMZN,strategy,-0.05199683543406386
2024-04-19,AMZN,strategy,-0.07627610665720219
2024-04-22,AMZN,strategy,-0.06252318014376168
2024-04-23,AMZN,strategy,-0.0503042033539115
2024-04-24,AMZN,strategy,-0.06590852470607544
2024-04-25,AMZN,strategy,-0.08135416370167725
2024-04-26,AMZN,strategy,-0.04988102536561123
2024-04-29,AMZN,strategy,-0.04279289218377158
2024-04-30,AMZN,strategy,-0.07431897841635104
2024-05-01,AMZN,strategy,-0.05316055506586759
2024-05-02,AMZN,strategy,-0.022904003327149258
2024-05-03,AMZN,strategy,-0.015022461536262188
2024-05-06,AMZN,strategy,-0.0018513948387234302
2024-05-07,AMZN,strategy,-0.0015340311835201348
2024-05-08,AMZN,strategy,-0.005554102527279947
2024-05-09,AMZN,strategy,0.0
2024-05-10,AMZN,strategy,-0.010659653298153104
2024-05-13,AMZN,strategy,-0.015461702902374697
2024-05-14,AMZN,strategy,-0.012823180474934137
2024-05-15,AMZN,strategy,-0.01852239841688652
2024-05-16,AMZN,strategy,-0.03097622744063333
2024-05-17,AMZN,strategy,-0.025329831662269098
2024-05-20,AMZN,strategy,-0.03145122269129297
2024-05-21,AMZN,strategy,-0.03350926701846968
2024-05-22,AMZN,strategy,-0.033614749868074
2024-05-23,AMZN,strategy,-0.044591012664907614
2024-05-24,AMZN,strategy,-0.04617414248021112
2024-05-28,AMZN,strategy,-0.03878631187335091
2024-05-29,AMZN,strategy,-0.03947227282321897
2024-05-30,AMZN,strategy,-0.05372027810026403
2024-05-31,AMZN,strategy,-0.06891819313984171
2024-06-03,AMZN,strategy,-0.05889184010554094
2024-06-04,AMZN,strategy,-0.05361479525065971
2024-06-05,AMZN,strategy,-0.04337731503957787
2024-06-06,AMZN,strategy,-0.0237467018469657
2024-06-07,AMZN,strategy,-0.027440616886543534
2024-06-10,AMZN,strategy,-0.012876002110817963
2024-06-11,AMZN,strategy,-0.011978914511873384
2024-06-12,AMZN,strategy,-0.01377309023746709
2024-06-13,AMZN,strategy,-0.029920834828496057
2024-06-14,AMZN,strategy,-0.030817922427440636
2024-06-17,AMZN,strategy,-0.028707136675461653
2024-06-18,AMZN,strategy,-0.035303442744063274
2024-06-20,AMZN,strategy,-0.017941920316622673
2024-06-21,AMZN,strategy,-0.0022163493403695167
2024-06-24,AMZN,strategy,-0.020738747757256037
2024-06-25,AMZN,strategy,-0.016675481266490877
2024-06-26,AMZN,strategy,0.0
2024-06-27,AMZN,strategy,0.0
2024-06-28,AMZN,strategy,-0.0232499669354318
2024-07-01,AMZN,strategy,-0.0032853635580453178
2024-07-02,AMZN,strategy,0.0
2024-07-03,AMZN,strategy,-0.012050018499999982
2024-07-05,AMZN,strategy,0.0
2024-01-05,AMZN,same_stock_buy_and_hold,0.0
2024-01-08,AMZN,same_stock_buy_and_hold,0.0
2024-01-09,AMZN,same_stock_buy_and_hold,0.0
2024-01-10,AMZN,same_stock_buy_and_hold,0.0
2024-01-11,AMZN,same_stock_buy_and_hold,0.0
2024-01-12,AMZN,same_stock_buy_and_hold,-0.0036086971667965706
2024-01-16,AMZN,same_stock_buy_and_hold,-0.013017071111126599
2024-01-17,AMZN,same_stock_buy_and_hold,-0.022361039845570252
2024-01-18,AMZN,same_stock_buy_and_hold,-0.010826090855976744
2024-01-19,AMZN,same_stock_buy_and_hold,0.0
2024-01-22,AMZN,same_stock_buy_and_hold,-0.0036049794858917794
2024-01-23,AMZN,same_stock_buy_and_hold,0.0
2024-01-24,AMZN,same_stock_buy_and_hold,0.0
2024-01-25,AMZN,same_stock_buy_and_hold,0.0
2024-01-26,AMZN,same_stock_buy_and_hold,0.0
2024-01-29,AMZN,same_stock_buy_and_hold,0.0
2024-01-30,AMZN,same_stock_buy_and_hold,-0.014014601122909087
2024-01-31,AMZN,same_stock_buy_and_hold,-0.03757905126308314
2024-02-01,AMZN,same_stock_buy_and_hold,-0.012278282075719904
2024-02-02,AMZN,same_stock_buy_and_hold,0.0
2024-02-05,AMZN,same_stock_buy_and_hold,-0.008730574593756923
2024-02-06,AMZN,same_stock_buy_and_hold,-0.015482240481679677
2024-02-07,AMZN,same_stock_buy_and_hold,-0.007450083335546309
2024-02-08,AMZN,same_stock_buy_and_hold,-0.011466162199632146
2024-02-09,AMZN,same_stock_buy_and_hold,0.0
2024-02-12,AMZN,same_stock_buy_and_hold,-0.012095159859530025
2024-02-13,AMZN,same_stock_buy_and_hold,-0.0333046580868126
2024-02-14,AMZN,same_stock_buy_and_hold,-0.019891093503367263
2024-02-15,AMZN,same_stock_buy_and_hold,-0.02665516699702508
2024-02-16,AMZN,same_stock_buy_and_hold,-0.0283175837648868
2024-02-20,AMZN,same_stock_buy_and_hold,-0.04224703485792958
2024-02-21,AMZN,same_stock_buy_and_hold,-0.033591290937993734
2024-02-22,AMZN,same_stock_buy_and_hold,0.0
